"GeneSymbol","Name","NCBI_Entrez_ID","HGNC_ID","Ensembl_Gene","Ensembl_Nucleotide","Ensembl_Protein","RefSeq_Nucleotide","RefSeq_Protein","Database","Uniprot_ID"
"ZNF564","zinc finger protein 564",163050,"HGNC:31106","ENSG00000249709.8","ENST00000339282.12","ENSP00000340004.6","NM_144976.4","NP_659413.1","MANE Select","Q8TBZ8;M0QZN8;F8WD42;C9JLM4"
"ZNF565","zinc finger protein 565",147929,"HGNC:26726","ENSG00000196357.12","ENST00000304116.10","ENSP00000306869.5","NM_152477.5","NP_689690.3","MANE Select","Q8N9K5;K7ESE2;K7EL42"
"ZNF566","zinc finger protein 566",84924,"HGNC:25919","ENSG00000186017.16","ENST00000452939.7","ENSP00000411526.2","NM_001145344.1","NP_001138816.1","MANE Select","Q969W8;B4DRR6;K7EQC1"
"ZNF567","zinc finger protein 567",163081,"HGNC:28696","ENSG00000189042.14","ENST00000682579.1","ENSP00000507048.1","NM_001322917.1","NP_001309846.1","MANE Select","Q8N184;K7EMD5;F8WEL6;K7ESK1"
"ZNF568","zinc finger protein 568",374900,"HGNC:25392","ENSG00000198453.14","ENST00000333987.12","ENSP00000334685.7","NM_198539.4","NP_940941.2","MANE Select","Q3ZCX4;K7EL97;K7EKY2;C9JXQ5;K7ELK8;C9JZ58;A0A087WZ84"
"ZNF569","zinc finger protein 569",148266,"HGNC:24737","ENSG00000196437.12","ENST00000316950.11","ENSP00000325018.5","NM_152484.3","NP_689697.2","MANE Select","Q5MCW4;K7ELU1;A0A024R0G4;K7EKE0;K7ENQ2;K7EJ12"
"ZNF57","zinc finger protein 57",126295,"HGNC:13125","ENSG00000171970.14","ENST00000306908.10","ENSP00000303696.5","NM_173480.3","NP_775751.1","MANE Select","Q68EA5;G3V131;A5HJR3;E5RHE3;K7ERB8"
"ZNF570","zinc finger protein 570",148268,"HGNC:26416","ENSG00000171827.11","ENST00000330173.6","ENSP00000331540.1","NM_144694.5","NP_653295.1","MANE Select","Q96NI8;K7EQY8;K7EMF5;K7EP39;K7ENX9;K7EP64"
"ZNF571","zinc finger protein 571",51276,"HGNC:25000","ENSG00000180479.14","ENST00000451802.7","ENSP00000392638.1","NM_016536.5","NP_057620.3","MANE Select","Q7Z3V5;A0A024R0L0;K7ELU5;K7ERB9"
"ZNF572","zinc finger protein 572",137209,"HGNC:26758","ENSG00000180938.6","ENST00000319286.6","ENSP00000319305.5","NM_152412.3","NP_689625.2","MANE Select","Q7Z3I7"
"ZNF573","zinc finger protein 573",126231,"HGNC:26420","ENSG00000189144.15","ENST00000536220.7","ENSP00000440464.2","NM_001172690.2","NP_001166161.1","MANE Select","Q86YE8;K7EL03;A0A0A0MRV5;K7EM14;K7ERS7;K7EM47;K7EQQ2"
"ZNF574","zinc finger protein 574",64763,"HGNC:26166","ENSG00000105732.13","ENST00000359044.5","ENSP00000351939.3","NM_022752.6","NP_073589.4","MANE Select","Q6ZN55;A0A0C4DFM2;M0R133"
"ZNF575","zinc finger protein 575",284346,"HGNC:27606","ENSG00000176472.11","ENST00000314228.10","ENSP00000315870.4","NM_174945.3","NP_777605.1","MANE Select","Q86XF7;B3KQ07;A0A024R0U0"
"ZNF576","zinc finger protein 576",79177,"HGNC:28357","ENSG00000124444.16","ENST00000336564.5","ENSP00000337852.4","NM_001145347.2","NP_001138819.1","MANE Select","Q9H609;A0A024R0T0"
"ZNF577","zinc finger protein 577",84765,"HGNC:28673","ENSG00000161551.15","ENST00000638348.2","ENSP00000491936.2","NM_001370449.1","NP_001357378.1","MANE Select","Q9BSK1;A0A024R4N6;A0A1W2PRB6;A0A1W2PPU1;A0A1W2PRW0;A0A1W2PS72;A0A1W2PRX5"
"ZNF578","zinc finger protein 578",147660,"HGNC:26449","ENSG00000258405.11","ENST00000421239.7","ENSP00000459216.1","NM_001099694.2","NP_001093164.1","MANE Select","Q96N58;M0QZV4"
"ZNF579","zinc finger protein 579",163033,"HGNC:26646","ENSG00000218891.5","ENST00000325421.7","ENSP00000320188.3","NM_152600.3","NP_689813.2","MANE Select","Q8NAF0"
"ZNF580","zinc finger protein 580",51157,"HGNC:29473","ENSG00000213015.9","ENST00000325333.10","ENSP00000320050.4","NM_207115.2","NP_996998.1","MANE Select","Q9UK33;K7ENY2;K7ERU0;K7EJ53"
"ZNF581","zinc finger protein 581",51545,"HGNC:25017","ENSG00000171425.10","ENST00000270451.6","ENSP00000270451.4","NM_016535.4","NP_057619.1","MANE Select","Q9P0T4;K7EM32"
"ZNF582","zinc finger protein 582",147948,"HGNC:26421","ENSG00000018869.18","ENST00000586929.6","ENSP00000465619.1","NM_001320371.4","NP_001307300.2","MANE Select","Q96NG8;A0A024R4P7;A0A075B772;A0A075B771;K7ESE7;K7EKI7"
"ZNF583","zinc finger protein 583",147949,"HGNC:26427","ENSG00000198440.9","ENST00000333201.13","ENSP00000388502.2","NM_152478.3","NP_689691.2","MANE Select","Q96ND8;F5GZQ5;I3L0C4"
"ZNF584","zinc finger protein 584",201514,"HGNC:27318","ENSG00000171574.18","ENST00000306910.9","ENSP00000306756.3","NM_173548.3","NP_775819.1","MANE Select","Q8IVC4;M0QZA3;M0R0A3;M0R3F5;F6W0P0;M0R2W6"
"ZNF585A","zinc finger protein 585A",199704,"HGNC:26305","ENSG00000196967.11","ENST00000292841.10","ENSP00000292841.7","NM_001288800.2","NP_001275729.1","MANE Select","Q6P3V2;A0A0C4DFY4;K7ELR3;K7EN80"
"ZNF585B","zinc finger protein 585B",92285,"HGNC:30948","ENSG00000245680.11","ENST00000532828.7","ENSP00000433773.1","NM_152279.4","NP_689492.3","MANE Select","Q52M93;E9PNT4;F2Z3L4;E9PQ00;K7EL12;K7EP93"
"ZNF586","zinc finger protein 586",54807,"HGNC:25949","ENSG00000083828.16","ENST00000396154.7","ENSP00000379458.1","NM_017652.4","NP_060122.2","MANE Select","Q9NXT0;M0R166;M0R336;M0QZ99;A0A494BZW3"
"ZNF587","zinc finger protein 587",84914,"HGNC:30955","ENSG00000198466.12","ENST00000339656.8","ENSP00000345479.4","NM_032828.4","NP_116217.1","MANE Select","Q96SQ5"
"ZNF587B","zinc finger protein 587B",100293516,"HGNC:37142","ENSG00000269343.9","ENST00000594901.2","ENSP00000469623.1","NM_001376223.1","NP_001363152.1","MANE Select","E7ETH6;A0A494C1I7;M0QY62;M0R1N2"
"ZNF589","zinc finger protein 589",51385,"HGNC:16747","ENSG00000164048.14","ENST00000354698.8","ENSP00000346729.3","NM_016089.3","NP_057173.2","MANE Select","Q86UQ0;B4DQF9;C9JGA6;C9J1J1;F8VZ09"
"ZNF592","zinc finger protein 592",9640,"HGNC:28986","ENSG00000166716.10","ENST00000560079.7","ENSP00000452877.2","NM_014630.3","NP_055445.2","MANE Select","H0YM74;Q92610"
"ZNF593","zinc finger protein 593",51042,"HGNC:30943","ENSG00000142684.9","ENST00000374266.7","ENSP00000363384.5","NM_015871.5","NP_056955.2","MANE Select","O00488;A9J4F5"
"ZNF593OS","ZNF593 opposite strand",118568799,"HGNC:41278","ENSG00000236782.8","ENST00000433939.7","ENSP00000489416.1","NM_001395468.1","NP_001382397.1","MANE Select","A0A0U1RRA0"
"ZNF594","zinc finger protein 594",84622,"HGNC:29392","ENSG00000180626.10","ENST00000575779.2","ENSP00000461032.1","NM_032530.2","NP_115919.1","MANE Select","Q96JF6;I3L508"
"ZNF595","zinc finger protein 595",152687,"HGNC:27196","ENSG00000272602.6","ENST00000610261.6","ENSP00000477392.1","NM_182524.4","NP_872330.1","MANE Select","Q8IYB9;A0A075B7G4;E9PN20;A0A075B7G3"
"ZNF596","zinc finger protein 596",169270,"HGNC:27268","ENSG00000172748.14","ENST00000398612.3","ENSP00000381613.1","NM_001042416.3","NP_001035881.1","MANE Select","Q8TC21;E5RIV8;E5RIL8;V9GYI9;A0A1W2PNU1;E5RJH7;V9GYV6;E5RHT8"
"ZNF597","zinc finger protein 597",146434,"HGNC:26573","ENSG00000167981.7","ENST00000301744.7","ENSP00000301744.4","NM_152457.3","NP_689670.1","MANE Select","Q96LX8"
"ZNF599","zinc finger protein 599",148103,"HGNC:26408","ENSG00000153896.19","ENST00000329285.13","ENSP00000333802.6","NM_001007248.3","NP_001007249.1","MANE Select","Q96NL3;A0A669KB57;K7EJP3"
"ZNF600","zinc finger protein 600",162966,"HGNC:30951","ENSG00000189190.11","ENST00000692063.1","ENSP00000509267.1","NM_001321866.4","NP_001308795.1","MANE Select","Q6ZNG1;A0A3B3IT03;A0A3B3ITY9;A0A3B3ITH4"
"ZNF605","zinc finger protein 605",100289635,"HGNC:28068","ENSG00000196458.11","ENST00000360187.9","ENSP00000353314.3","NM_183238.4","NP_899061.1","MANE Select","Q86T29"
"ZNF606","zinc finger protein 606",80095,"HGNC:25879","ENSG00000166704.13","ENST00000551380.7","ENSP00000446972.2","NM_001348022.3","NP_001334951.1","MANE Select","F8VVX5;Q8WXB4;F8VZG6;F8W1H2;F8VZC9;A0A024R4S7"
"ZNF607","zinc finger protein 607",84775,"HGNC:28192","ENSG00000198182.13","ENST00000355202.9","ENSP00000347338.2","NM_032689.5","NP_116078.4","MANE Select","Q96SK3;K7EN48;K7ELX6;K7ESQ1"
"ZNF608","zinc finger protein 608",57507,"HGNC:29238","ENSG00000168916.16","ENST00000513986.2","ENSP00000421899.2","NM_020747.3","NP_065798.2","MANE Select","Q9ULD9;A2RRB2;A0A0C4DGB8"
"ZNF609","zinc finger protein 609",23060,"HGNC:29003","ENSG00000180357.10","ENST00000326648.5","ENSP00000316527.3","NM_015042.2","NP_055857.1","MANE Select","O15014;E7ERY8"
"ZNF610","zinc finger protein 610",162963,"HGNC:26687","ENSG00000167554.15","ENST00000403906.8","ENSP00000383922.2","NM_001161425.2","NP_001154897.1","MANE Select","Q8N9Z0;M0QYM6"
"ZNF611","zinc finger protein 611",81856,"HGNC:28766","ENSG00000213020.10","ENST00000652185.1","ENSP00000498713.1","NM_001161499.2","NP_001154971.1","MANE Select","Q8N823;M0QYZ5;M0R2W3;A0A1W2PQH1;M0QYR0;M0QXE4;M0QXQ6;M0R1T1"
"ZNF613","zinc finger protein 613",79898,"HGNC:25827","ENSG00000176024.18","ENST00000293471.11","ENSP00000293471.5","NM_001031721.4","NP_001026891.2","MANE Select","Q6PF04;M0R2C1;M0QX19"
"ZNF614","zinc finger protein 614",80110,"HGNC:24722","ENSG00000142556.19","ENST00000270649.11","ENSP00000270649.5","NM_025040.4","NP_079316.2","MANE Select","Q8N883;M0QYG4;M0R1H2"
"ZNF615","zinc finger protein 615",284370,"HGNC:24740","ENSG00000197619.15","ENST00000598071.6","ENSP00000471041.1","NM_001199324.2","NP_001186253.1","MANE Select","Q8N8J6;M0QZR2;M0QZZ4;M0R0F8;H9KV89;M0R130"
"ZNF616","zinc finger protein 616",90317,"HGNC:28062","ENSG00000204611.7","ENST00000600228.6","ENSP00000471000.1","NM_178523.5","NP_848618.2","MANE Select","Q08AN1;M0R0C2;M0QXF0;M0QYU5"
"ZNF618","zinc finger protein 618",114991,"HGNC:29416","ENSG00000157657.15","ENST00000374126.10","ENSP00000363241.5","NM_001318042.2","NP_001304971.1","MANE Select","Q5T7W0;B1ALC2;B5MDS3"
"ZNF619","zinc finger protein 619",285267,"HGNC:26910","ENSG00000177873.14","ENST00000432264.4","ENSP00000388710.2","NM_001145093.4","NP_001138565.1","MANE Select","Q8N2I2;Q17RW3;E5RJF3"
"ZNF620","zinc finger protein 620",253639,"HGNC:28742","ENSG00000177842.12","ENST00000314529.10","ENSP00000322265.6","NM_175888.4","NP_787084.1","MANE Select","Q6ZNG0;F8WC31;C9J967;A0A3B3IU22"
"ZNF621","zinc finger protein 621",285268,"HGNC:24787","ENSG00000172888.12","ENST00000339296.10","ENSP00000340841.5","NM_198484.5","NP_940886.1","MANE Select","Q6ZSS3;C9JZC2;C9JM43"
"ZNF622","zinc finger protein 622",90441,"HGNC:30958","ENSG00000173545.5","ENST00000308683.3","ENSP00000310042.2","NM_033414.3","NP_219482.1","MANE Select","Q969S3"
"ZNF623","zinc finger protein 623",9831,"HGNC:29084","ENSG00000183309.12","ENST00000526926.6","ENSP00000435232.1","NM_001261843.2","NP_001248772.1","MANE Select","O75123"
"ZNF624","zinc finger protein 624",57547,"HGNC:29254","ENSG00000197566.10","ENST00000311331.12","ENSP00000310472.7","NM_020787.4","NP_065838.2","MANE Select","Q9P2J8;C9J5H1;J3QKY7"
"ZNF625","zinc finger protein 625",90589,"HGNC:30571","ENSG00000257591.6","ENST00000439556.3","ENSP00000394380.2","NM_145233.4","NP_660276.2","MANE Select","F2Z3I2;H7C2C9"
"ZNF626","zinc finger protein 626",199777,"HGNC:30461","ENSG00000188171.17","ENST00000601440.6","ENSP00000469958.1","NM_001076675.3","NP_001070143.1","MANE Select","Q68DY1;M0QY39"
"ZNF627","zinc finger protein 627",199692,"HGNC:30570","ENSG00000198551.10","ENST00000361113.10","ENSP00000354414.4","NM_145295.4","NP_660338.1","MANE Select","Q7L945;K7ELG4;K7EKY8"
"ZNF628","zinc finger protein 628",89887,"HGNC:28054","ENSG00000197483.10","ENST00000598519.2","ENSP00000469591.1","NM_033113.3","NP_149104.3","MANE Select","Q5EBL2;K7EL41;A0A087WSX5"
"ZNF629","zinc finger protein 629",23361,"HGNC:29008","ENSG00000102870.6","ENST00000262525.6","ENSP00000262525.4","NM_001080417.3","NP_001073886.1","MANE Select","Q9UEG4"
"ZNF630","zinc finger protein 630",57232,"HGNC:28855","ENSG00000221994.12","ENST00000276054.9","ENSP00000354683.4","NM_001282201.2","NP_001269130.1","MANE Select","Q2M218;B2ZWG9;A0A087WXA8;A0A6E1WMD9;F8WCH7;B2ZWG8;A0A0D9SER6"
"ZNF638","zinc finger protein 638",27332,"HGNC:17894","ENSG00000075292.19","ENST00000264447.9","ENSP00000264447.4","NM_014497.5","NP_055312.2","MANE Select","Q14966;C9JMR2;C9JSD0;A0A096LNQ0;C9JHV0;A0A096LNR2;A0A096LPB4;C9JWN0;A0A096LPI0;A0A096LNX0"
"ZNF639","zinc finger protein 639",51193,"HGNC:30950","ENSG00000121864.10","ENST00000496856.6","ENSP00000417740.1","NM_001303426.2","NP_001290355.1","MANE Select","Q9UID6;J3KR68;J3KR59;C9IZP0;C9J3R1"
"ZNF641","zinc finger protein 641",121274,"HGNC:31834","ENSG00000167528.13","ENST00000547026.6","ENSP00000449974.1","NM_001172681.2","NP_001166152.1","MANE Select","Q96N77;F8VSM8;F8VZV7;F8VZ73;F8VXJ5"
"ZNF644","zinc finger protein 644",84146,"HGNC:29222","ENSG00000122482.22","ENST00000337393.10","ENSP00000337008.5","NM_201269.3","NP_958357.1","MANE Select","Q9H582"
"ZNF646","zinc finger protein 646",9726,"HGNC:29004","ENSG00000167395.10","ENST00000300850.5","ENSP00000300850.5","NM_014699.4","NP_055514.3","MANE Select","O15015;C9J3L0;H3BSD0"
"ZNF648","zinc finger protein 648",127665,"HGNC:18190","ENSG00000179930.6","ENST00000339948.3","ENSP00000344129.3","NM_001009992.1","NP_001009992.1","MANE Select","Q5T619;A0A669KBK7"
"ZNF649","zinc finger protein 649",65251,"HGNC:25741","ENSG00000198093.11","ENST00000354957.8","ENSP00000347043.2","NM_023074.4","NP_075562.2","MANE Select","Q9BS31;M0QYA0;M0R098;M0R1B1;M0QX90"
"ZNF652","zinc finger protein 652",22834,"HGNC:29147","ENSG00000198740.9","ENST00000430262.3","ENSP00000416305.2","NM_001145365.3","NP_001138837.1","MANE Select","D6RF85;Q9Y2D9"
"ZNF653","zinc finger protein 653",115950,"HGNC:25196","ENSG00000161914.10","ENST00000293771.10","ENSP00000293771.3","NM_138783.4","NP_620138.2","MANE Select","Q96CK0"
"ZNF654","zinc finger protein 654",55279,"HGNC:25612","ENSG00000175105.8","ENST00000636215.2","ENSP00000490842.1","NM_001350134.2","NP_001337063.1","MANE Select","Q8IZM8"
"ZNF655","zinc finger protein 655",79027,"HGNC:30899","ENSG00000197343.11","ENST00000252713.9","ENSP00000252713.4","NM_138494.3","NP_612503.1","MANE Select","C9J0V9;Q8N720;F8WDU5;C9JUB9;C9JNK1;C9J9R2;F8WEB1;F8WE52;C9JS03;F8WCS2;C9IYG2"
"ZNF658","zinc finger protein 658",26149,"HGNC:25226","ENSG00000274349.5","ENST00000621410.5","ENSP00000482447.1","NM_033160.7","NP_149350.3","MANE Select","Q5TYW1;A0A087X186;A0A087WZ36;A0A087X0H1;A0A087WVA2"
"ZNF66","zinc finger protein 66",7617,"HGNC:13135","ENSG00000160229.13","ENST00000344519.10","ENSP00000461425.1","NM_001355197.2","NP_001342126.2","MANE Select","I3L137;Q6ZN08;M0QY27;A0A0G2JMG9;A0A0G2JQ71"
"ZNF660","zinc finger protein 660",285349,"HGNC:26720","ENSG00000144792.9","ENST00000322734.2","ENSP00000324605.2","NM_173658.4","NP_775929.2","MANE Select","Q6AZW8;C9J3D4;C9J3N9"
"ZNF662","zinc finger protein 662",389114,"HGNC:31930","ENSG00000182983.15","ENST00000440367.7","ENSP00000405047.2","NM_207404.4","NP_997287.2","MANE Select","Q6ZS27;F8WE97"
"ZNF664","zinc finger protein 664",144348,"HGNC:25406","ENSG00000179195.16","ENST00000337815.9","ENSP00000337320.4","NM_152437.3","NP_689650.1","MANE Select","Q8N3J9;A0A024RBR7"
"ZNF665","zinc finger protein 665",79788,"HGNC:25885","ENSG00000197497.11","ENST00000396424.5","ENSP00000379702.2","NM_024733.5","NP_079009.3","MANE Select","Q9H7R5;A0A3Q5AD24"
"ZNF667","zinc finger protein 667",63934,"HGNC:28854","ENSG00000198046.13","ENST00000504904.8","ENSP00000439402.1","NM_001321356.2","NP_001308285.1","MANE Select","Q5HYK9;M0QX02;K7EIE0;K7EQ15;K7ERY5"
"ZNF668","zinc finger protein 668",79759,"HGNC:25821","ENSG00000167394.13","ENST00000300849.5","ENSP00000300849.4","NM_024706.5","NP_078982.3","MANE Select","A0A024QZD9;C9JCJ0;C9JG35;C9J092"
"ZNF669","zinc finger protein 669",79862,"HGNC:25736","ENSG00000188295.15","ENST00000448299.7","ENSP00000404370.2","NM_001142572.2","NP_001136044.1","MANE Select","Q96BR6;E5RI66;Q5VT36;Q5VT37"
"ZNF670","zinc finger protein 670",93474,"HGNC:28167","ENSG00000277462.2","ENST00000366503.3","ENSP00000355459.2","NM_033213.5","NP_149990.1","MANE Select","Q9BS34"
"ZNF671","zinc finger protein 671",79891,"HGNC:26279","ENSG00000083814.13","ENST00000317398.10","ENSP00000321848.5","NM_024833.3","NP_079109.2","MANE Select","Q8TAW3;M0QX87;M0R091"
"ZNF672","zinc finger protein 672",79894,"HGNC:26179","ENSG00000171161.13","ENST00000306562.8","ENSP00000421915.1","NM_024836.3","NP_079112.1","MANE Select","Q499Z4;D6RH11;D6RD56"
"ZNF674","zinc finger protein 674",641339,"HGNC:17625","ENSG00000251192.8","ENST00000683375.1","ENSP00000506769.1","NM_001190417.2","NP_001177346.1","MANE Select","Q2M3X9;E5RHV3;A0A804HHU7"
"ZNF675","zinc finger protein 675",171392,"HGNC:30768","ENSG00000197372.10","ENST00000359788.9","ENSP00000352836.3","NM_138330.3","NP_612203.2","MANE Select","Q8TD23;M0R1W1;M0R1X5;M0R3E4;M0QXU1;M0R3G8;M0R373;M0QXM7"
"ZNF676","zinc finger protein 676",163223,"HGNC:20429","ENSG00000196109.9","ENST00000397121.3","ENSP00000380310.1","NM_001001411.3","NP_001001411.2","MANE Select","Q8N7Q3;A0A3B3ITU2;A0A0G2JP77"
"ZNF677","zinc finger protein 677",342926,"HGNC:28730","ENSG00000197928.11","ENST00000598513.6","ENSP00000469391.1","NM_182609.4","NP_872415.1","MANE Select","M0R0I7;Q86XU0;M0R1V2;M0R079;M0QYA4;M0R297"
"ZNF678","zinc finger protein 678",339500,"HGNC:28652","ENSG00000181450.18","ENST00000343776.10","ENSP00000344828.4","NM_001367909.1","NP_001354838.1","MANE Select","Q5SXM1;V9GYU6;B1APK8"
"ZNF679","zinc finger protein 679",168417,"HGNC:28650","ENSG00000197123.9","ENST00000421025.3","ENSP00000416809.1","NM_153363.3","NP_699194.2","MANE Select","Q8IYX0"
"ZNF680","zinc finger protein 680",340252,"HGNC:26897","ENSG00000173041.12","ENST00000309683.11","ENSP00000309330.6","NM_178558.5","NP_848653.2","MANE Select","Q8NEM1"
"ZNF681","zinc finger protein 681",148213,"HGNC:26457","ENSG00000196172.9","ENST00000402377.3","ENSP00000384000.3","NM_138286.3","NP_612143.2","MANE Select","Q96N22;E9PJB6;E9PSC0"
"ZNF682","zinc finger protein 682",91120,"HGNC:28857","ENSG00000197124.12","ENST00000397165.7","ENSP00000380351.1","NM_033196.3","NP_149973.1","MANE Select","O95780;B9EG95;M0QXB8;M0R067;M0QZ56;M0R2B6"
"ZNF683","zinc finger protein 683",257101,"HGNC:28495","ENSG00000176083.18","ENST00000349618.8","ENSP00000344095.3","NM_001114759.3","NP_001108231.1","MANE Select","Q8IZ20;Q5T145;X1WI32;Q5T142;A0A0A0MT21;X1WI31;A0A0A0MSJ7"
"ZNF684","zinc finger protein 684",127396,"HGNC:28418","ENSG00000117010.17","ENST00000372699.8","ENSP00000361784.3","NM_152373.4","NP_689586.3","MANE Select","Q5T5D7;Q5T5D8;Q5T5D9"
"ZNF687","zinc finger protein 687",57592,"HGNC:29277","ENSG00000143373.18","ENST00000336715.11","ENSP00000336620.5","NM_020832.3","NP_065883.1","MANE Select","Q8N1G0;A6PVV7;F8WCX2;A2A3Q2"
"ZNF688","zinc finger protein 688",146542,"HGNC:30489","ENSG00000229809.9","ENST00000223459.11","ENSP00000223459.6","NM_145271.4","NP_660314.1","MANE Select","P0C7X2;H3BTK8;H3BR45;A0A0S2Z633"
"ZNF689","zinc finger protein 689",115509,"HGNC:25173","ENSG00000156853.13","ENST00000287461.8","ENSP00000287461.3","NM_138447.3","NP_612456.1","MANE Select","Q96CS4"
"ZNF69","zinc finger protein 69",7620,"HGNC:13138","ENSG00000198429.10","ENST00000429654.7","ENSP00000402985.2","NM_001364730.1","NP_001351659.1","MANE Select","Q9UC07;C9JR48"
"ZNF691","zinc finger protein 691",51058,"HGNC:28028","ENSG00000164011.18","ENST00000651192.1","ENSP00000498913.1","NM_001242739.2","NP_001229668.1","MANE Select","Q5VV52;Q5VV50;Q5VV51;A0A0A0MRR1"
"ZNF692","zinc finger protein 692",55657,"HGNC:26049","ENSG00000171163.16","ENST00000306601.9","ENSP00000305483.5","NM_017865.4","NP_060335.2","MANE Select","Q9BU19;E9PLQ7;E9PLQ5;E9PRH5;E7ET73"
"ZNF695","zinc finger protein 695",57116,"HGNC:30954","ENSG00000197472.15","ENST00000339986.8","ENSP00000341236.7","NM_020394.5","NP_065127.5","MANE Select","Q8IW36;F6W2C3;F2Z3A3"
"ZNF696","zinc finger protein 696",79943,"HGNC:25872","ENSG00000185730.8","ENST00000330143.8","ENSP00000328515.3","NM_030895.3","NP_112157.2","MANE Select","Q9H7X3;E5RG39;E5RH76;E5RFI7;E5RH99;E5RJV3"
"ZNF697","zinc finger protein 697",90874,"HGNC:32034","ENSG00000143067.5","ENST00000421812.3","ENSP00000396857.2","NM_001080470.2","NP_001073939.1","MANE Select","Q5TEC3"
"ZNF699","zinc finger protein 699",374879,"HGNC:24750","ENSG00000196110.8","ENST00000591998.6","ENSP00000467723.1","NM_198535.3","NP_940937.1","MANE Select","Q32M78"
"ZNF7","zinc finger protein 7",7553,"HGNC:13139","ENSG00000147789.16","ENST00000532777.6","ENSP00000432641.2","NM_003416.4","NP_003407.1","MANE Select","P17097;E9PQI2;E9PIH3;F5H290;E9PJZ3;E9PJX9;E9PM16"
"ZNF70","zinc finger protein 70",7621,"HGNC:13140","ENSG00000187792.5","ENST00000341976.5","ENSP00000339314.3","NM_021916.4","NP_068735.1","MANE Select","Q9UC06"
"ZNF700","zinc finger protein 700",90592,"HGNC:25292","ENSG00000196757.8","ENST00000254321.10","ENSP00000254321.4","NM_144566.3","NP_653167.1","MANE Select","Q9H0M5;K7EQV7;A0A087WVH9"
"ZNF701","zinc finger protein 701",55762,"HGNC:25597","ENSG00000167562.14","ENST00000391785.8","ENSP00000375662.2","NM_018260.3","NP_060730.2","MANE Select","Q9NV72;M0R085;M0R327"
"ZNF703","zinc finger protein 703",80139,"HGNC:25883","ENSG00000183779.7","ENST00000331569.6","ENSP00000332325.4","NM_025069.3","NP_079345.1","MANE Select","Q9H7S9"
"ZNF704","zinc finger protein 704",619279,"HGNC:32291","ENSG00000164684.13","ENST00000327835.7","ENSP00000331462.3","NM_001033723.3","NP_001028895.1","MANE Select","Q6ZNC4"
"ZNF705A","zinc finger protein 705A",440077,"HGNC:32281","ENSG00000196946.11","ENST00000396570.8","ENSP00000379816.4","NM_001004328.3","NP_001004328.1","MANE Select","Q6ZN79"
"ZNF705B","zinc finger protein 705B",100132396,"HGNC:32284","ENSG00000215356.4","ENST00000400120.3","ENSP00000382987.3","NM_001193630.1","NP_001180559.1","MANE Select","P0CI00"
"ZNF705D","zinc finger protein 705D",728957,"HGNC:33202","ENSG00000215343.8","ENST00000400085.8","ENSP00000382957.3","NM_001039615.3","NP_001034704.2","MANE Select","P0CH99"
"ZNF705G","zinc finger protein 705G",100131980,"HGNC:37134","ENSG00000215372.6","ENST00000400156.4","ENSP00000383020.4","NM_001164457.3","NP_001157929.1","MANE Select","A8MUZ8;A0A0G2JMF9"
"ZNF706","zinc finger protein 706",51123,"HGNC:24992","ENSG00000120963.12","ENST00000311212.9","ENSP00000311768.4","NM_016096.5","NP_057180.1","MANE Select","Q9Y5V0;E5RIY7;H0YAP1;E5RHV4;E5RHR6"
"ZNF707","zinc finger protein 707",286075,"HGNC:27815","ENSG00000181135.16","ENST00000358656.9","ENSP00000351482.4","NM_001100598.2","NP_001094068.1","MANE Select","E9PKX4;Q96C28;E9PP66;E9PQ20;E9PS67;E9PJ46;E9PPS7;E9PHZ0;E9PNV7;A0A2R8YE36"
"ZNF708","zinc finger protein 708",7562,"HGNC:12945","ENSG00000182141.10","ENST00000356929.3","ENSP00000349401.2","NM_021269.3","NP_067092.2","MANE Select","P17019;M0R2V2;M0QYN4;M0R1G3"
"ZNF709","zinc finger protein 709",163051,"HGNC:20629","ENSG00000242852.7","ENST00000397732.8","ENSP00000380840.3","NM_152601.4","NP_689814.1","MANE Select","Q8N972;H7C129"
"ZNF71","zinc finger protein 71",58491,"HGNC:13141","ENSG00000197951.10","ENST00000599599.7","ENSP00000471138.2","NM_001370215.1","NP_001357144.1","MANE Select","M0R0C0;Q9NQZ8"
"ZNF710","zinc finger protein 710",374655,"HGNC:25352","ENSG00000140548.10","ENST00000268154.9","ENSP00000268154.3","NM_198526.4","NP_940928.2","MANE Select","Q8N1W2;H0YKZ0;H0YLZ7"
"ZNF711","zinc finger protein 711",7552,"HGNC:13128","ENSG00000147180.17","ENST00000674551.1","ENSP00000502839.1","NM_001330574.2","NP_001317503.1","MANE Select","Q9Y462"
"ZNF713","zinc finger protein 713",349075,"HGNC:22043","ENSG00000178665.16","ENST00000429591.4","ENSP00000416662.3","NM_182633.3","NP_872439.2","MANE Select","Q8N859;A0A8I5JYA4;F8WD84"
"ZNF714","zinc finger protein 714",148206,"HGNC:27124","ENSG00000160352.16","ENST00000456283.7","ENSP00000478345.1","NM_182515.4","NP_872321.2","MANE Select","I3L2D0;A0A087WU35;A0A087X1X4;A0A087X1Z8;A0A087WX89;M0QY60;A0A087WV13"
"ZNF716","zinc finger protein 716",441234,"HGNC:32458","ENSG00000182111.9","ENST00000420713.2","ENSP00000394248.1","NM_001159279.1","NP_001152751.1","MANE Select","A6NP11"
